review_id,product_id,product_name,category,rating,review_title,review_body,reviewer
1,15,Dillon Group Laptop,Technology,5,Fantastic everyday laptop,"Picked this up a few months ago and it's been rock solid. Fast boot times, great battery life, and handles multitasking without breaking a sweat. Worth every penny.",Sarah M.
2,15,Dillon Group Laptop,Technology,3,Decent but runs warm,"Good performance overall but it gets quite hot under load. Fine for light work and browsing, but I wouldn't recommend it for heavy video editing or gaming.",James T.
3,9,Hayes-Wu Monitor,Technology,5,Crystal clear display,"Absolutely love this monitor. The colors are vibrant and accurate right out of the box. Setup was a breeze and the stand is sturdy. My productivity has noticeably improved.",Priya K.
4,9,Hayes-Wu Monitor,Technology,4,Great picture, average stand,"The display quality is excellent — sharp and bright. Docking a star because the stand doesn't tilt as far back as I'd like. A VESA mount fixes it though.",Carlos R.
5,7,Harris-Thompson Chair,Furniture,4,Comfortable for long sessions,"Really solid office chair for the price. Good lumbar support and the cushion holds up well after months of use. Assembly was straightforward. Recommended.",Linda B.
6,7,Harris-Thompson Chair,Furniture,2,Armrests broke after 2 months,"The seat itself is comfortable but the left armrest snapped at the joint after just two months of normal use. Disappointed given the price point.",David W.
7,23,Stephens Moore and Hodges Laptop,Technology,5,Best laptop I've owned,"Blazing fast, lightweight, and the keyboard feels premium. Battery easily lasts a full workday. I use it for data work and it handles large datasets without any lag.",Anita J.
8,6,Chapman-Flowers Table,Furniture,4,Looks great, assembly tricky,"Beautiful table — the finish is smooth and it looks exactly like the photos. Assembly took about 90 minutes solo and the instructions could be clearer, but the end result is worth it.",Marco D.
9,11,Hardy-Ingram Pen,Office Supplies,5,Smooth writing experience,"This pen writes incredibly smoothly right out of the package. Ink doesn't skip and it feels well-balanced in the hand. Bought a second one as a backup.",Fiona L.
10,11,Hardy-Ingram Pen,Office Supplies,3,Good pen, ink runs out fast,"Writes well but the ink cartridge doesn't last very long with daily use. Fine as a backup pen but not ideal as your primary one without spare refills on hand.",Tom H.
11,32,Rivera Harris and Williams Laptop,Technology,4,Reliable workhorse,"Solid build quality and dependable performance. Not the flashiest laptop but it gets the job done day after day. Good value for a business machine.",Raj S.
12,24,Jones Cook and Barnes Chair,Furniture,5,Premium feel, very comfortable,"This chair feels like it belongs in an executive office. Incredibly comfortable even after 8-hour days. The build quality is exceptional and it arrived well-packaged.",Nina P.
13,5,Molina Smith and Smith Stapler,Office Supplies,4,Heavy-duty and reliable,"Staples through thick stacks without jamming. Built like a tank. A little on the heavy side if you need to move it around often, but for a desk stapler it's excellent.",Greg O.
14,22,Wells Ltd Mouse,Technology,5,Great budget mouse,"For the price, this mouse is unbeatable. Responsive, comfortable grip, and the scroll wheel is smooth. Perfect for everyday office use.",Yuki N.
15,74,Humphrey Smith and Bowers Bookcase,Furniture,5,Sturdy and stylish,"Exactly what I needed for my home office. The shelves hold a lot of weight without bowing and the finish matches my other furniture perfectly. Assembly took under an hour.",Claire F.
